cle_obs,nom,definition,valeur,unite,thematique,type
1183803,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1196675,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1188882,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1185361,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1094349,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1181641,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1097318,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1181617,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1185460,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1190825,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1186856,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1179951,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1187969,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1191573,altitude_mnt,"Altitude déduite du MNT à 10m",0.69,m,Altitude,QTA
1187572,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1191431,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1180061,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1198039,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1177779,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1196425,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1196640,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1181675,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1184231,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1189812,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1186181,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1192417,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1192013,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1179051,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1094054,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1190955,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1095777,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1178418,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1096872,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1191282,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1094867,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1181016,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1183682,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1196218,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
