cle_obs,code_departement,nom_departement,annee_ref,type_info_geo
1093541,974,"La Réunion",2017,Rattachement
1093542,974,"La Réunion",2017,Rattachement
1093543,974,"La Réunion",2017,Rattachement
1093544,974,"La Réunion",2017,Rattachement
1093545,974,"La Réunion",2017,Rattachement
1093546,974,"La Réunion",2017,Rattachement
1093547,974,"La Réunion",2017,Rattachement
1093548,974,"La Réunion",2017,Rattachement
1093549,974,"La Réunion",2017,Rattachement
1093550,974,"La Réunion",2017,Rattachement
1093551,974,"La Réunion",2017,Rattachement
1093552,974,"La Réunion",2017,Rattachement
1093553,974,"La Réunion",2017,Rattachement
1093554,974,"La Réunion",2017,Rattachement
1093555,974,"La Réunion",2017,Rattachement
1093556,974,"La Réunion",2017,Rattachement
1093557,974,"La Réunion",2017,Rattachement
1093558,974,"La Réunion",2017,Rattachement
1093559,974,"La Réunion",2017,Rattachement
1093560,974,"La Réunion",2017,Rattachement
1093561,974,"La Réunion",2017,Rattachement
1093562,974,"La Réunion",2017,Rattachement
1093563,974,"La Réunion",2017,Rattachement
1093564,974,"La Réunion",2017,Rattachement
1093565,974,"La Réunion",2017,Rattachement
1093566,974,"La Réunion",2017,Rattachement
1093567,974,"La Réunion",2017,Rattachement
1093568,974,"La Réunion",2017,Rattachement
1093569,974,"La Réunion",2017,Rattachement
1093570,974,"La Réunion",2017,Rattachement
1093571,974,"La Réunion",2017,Rattachement
1093572,974,"La Réunion",2017,Rattachement
1093573,974,"La Réunion",2017,Rattachement
1093574,974,"La Réunion",2017,Rattachement
1093575,974,"La Réunion",2017,Rattachement
1093576,974,"La Réunion",2017,Rattachement
1093577,974,"La Réunion",2017,Rattachement
1093578,974,"La Réunion",2017,Rattachement
1093579,974,"La Réunion",2017,Rattachement
1093580,974,"La Réunion",2017,Rattachement
1093581,974,"La Réunion",2017,Rattachement
1093582,974,"La Réunion",2017,Rattachement
1093583,974,"La Réunion",2017,Rattachement
1093584,974,"La Réunion",2017,Rattachement
1093585,974,"La Réunion",2017,Rattachement
1093586,974,"La Réunion",2017,Rattachement
1093587,974,"La Réunion",2017,Rattachement
1093588,974,"La Réunion",2017,Rattachement
1093589,974,"La Réunion",2017,Rattachement
1093590,974,"La Réunion",2017,Rattachement
1093591,974,"La Réunion",2017,Rattachement
1093592,974,"La Réunion",2017,Rattachement
1093593,974,"La Réunion",2017,Rattachement
1093594,974,"La Réunion",2017,Rattachement
1093595,974,"La Réunion",2017,Rattachement
1093596,974,"La Réunion",2017,Rattachement
1093597,974,"La Réunion",2017,Rattachement
1093598,974,"La Réunion",2017,Rattachement
1093599,974,"La Réunion",2017,Rattachement
1093600,974,"La Réunion",2017,Rattachement
1093601,974,"La Réunion",2017,Rattachement
1093602,974,"La Réunion",2017,Rattachement
1093603,974,"La Réunion",2017,Rattachement
1093604,974,"La Réunion",2017,Rattachement
1093605,974,"La Réunion",2017,Rattachement
1093606,974,"La Réunion",2017,Rattachement
1093607,974,"La Réunion",2017,Rattachement
1093608,974,"La Réunion",2017,Rattachement
1093609,974,"La Réunion",2017,Rattachement
1093610,974,"La Réunion",2017,Rattachement
1093611,974,"La Réunion",2017,Rattachement
1093612,974,"La Réunion",2017,Rattachement
1093613,974,"La Réunion",2017,Rattachement
1093614,974,"La Réunion",2017,Rattachement
1093615,974,"La Réunion",2017,Rattachement
1093616,974,"La Réunion",2017,Rattachement
1093617,974,"La Réunion",2017,Rattachement
1093618,974,"La Réunion",2017,Rattachement
1093619,974,"La Réunion",2017,Rattachement
1093620,974,"La Réunion",2017,Rattachement
1093621,974,"La Réunion",2017,Rattachement
1093622,974,"La Réunion",2017,Rattachement
1093623,974,"La Réunion",2017,Rattachement
1093624,974,"La Réunion",2017,Rattachement
1093625,974,"La Réunion",2017,Rattachement
1093626,974,"La Réunion",2017,Rattachement
1093627,974,"La Réunion",2017,Rattachement
1093628,974,"La Réunion",2017,Rattachement
1093629,974,"La Réunion",2017,Rattachement
1093630,974,"La Réunion",2017,Rattachement
1093631,974,"La Réunion",2017,Rattachement
1093632,974,"La Réunion",2017,Rattachement
1093633,974,"La Réunion",2017,Rattachement
1093634,974,"La Réunion",2017,Rattachement
1093635,974,"La Réunion",2017,Rattachement
1093636,974,"La Réunion",2017,Rattachement
1093637,974,"La Réunion",2017,Rattachement
1093638,974,"La Réunion",2017,Rattachement
1093639,974,"La Réunion",2017,Rattachement
