cle_obs,code_maille,version_ref,nom_ref,type_info_geo
1190559,2kmUTM40E338S7638,2019,"SINP 974",Rattachement
1178488,2kmUTM40E314S7670,2019,"SINP 974",Rattachement
1178011,2kmUTM40E314S7670,2019,"SINP 974",Rattachement
1094884,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1096700,2kmUTM40E342S7638,2019,"SINP 974",Rattachement
1185358,2kmUTM40E320S7660,2019,"SINP 974",Rattachement
1187839,2kmUTM40E320S7656,2019,"SINP 974",Rattachement
1182614,2kmUTM40E314S7666,2019,"SINP 974",Rattachement
1196257,2kmUTM40E316S7664,2019,"SINP 974",Rattachement
1188207,2kmUTM40E320S7654,2019,"SINP 974",Rattachement
1187907,2kmUTM40E320S7654,2019,"SINP 974",Rattachement
1185734,2kmUTM40E320S7658,2019,"SINP 974",Rattachement
1093839,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1183810,2kmUTM40E316S7664,2019,"SINP 974",Rattachement
1180871,2kmUTM40E314S7668,2019,"SINP 974",Rattachement
1192606,2kmUTM40E348S7636,2019,"SINP 974",Rattachement
1181836,2kmUTM40E314S7666,2019,"SINP 974",Rattachement
1180766,2kmUTM40E314S7668,2019,"SINP 974",Rattachement
1177954,2kmUTM40E314S7670,2019,"SINP 974",Rattachement
1179561,2kmUTM40E314S7668,2019,"SINP 974",Rattachement
1195631,2kmUTM40E314S7668,2019,"SINP 974",Rattachement
1189026,2kmUTM40E326S7646,2019,"SINP 974",Rattachement
1189526,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1094115,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1191920,2kmUTM40E346S7636,2019,"SINP 974",Rattachement
1190817,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1177807,2kmUTM40E314S7670,2019,"SINP 974",Rattachement
1198552,2kmUTM40E320S7658,2019,"SINP 974",Rattachement
1187271,2kmUTM40E320S7656,2019,"SINP 974",Rattachement
1186155,2kmUTM40E320S7658,2019,"SINP 974",Rattachement
1197633,2kmUTM40E316S7664,2019,"SINP 974",Rattachement
1180874,2kmUTM40E314S7668,2019,"SINP 974",Rattachement
1183668,2kmUTM40E316S7664,2019,"SINP 974",Rattachement
1094291,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1178027,2kmUTM40E314S7670,2019,"SINP 974",Rattachement
1198181,2kmUTM40E316S7666,2019,"SINP 974",Rattachement
1177735,2kmUTM40E314S7670,2019,"SINP 974",Rattachement
1195434,2kmUTM40E314S7670,2019,"SINP 974",Rattachement
1196542,2kmUTM40E318S7662,2019,"SINP 974",Rattachement
1093655,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1177843,2kmUTM40E314S7670,2019,"SINP 974",Rattachement
1182109,2kmUTM40E314S7666,2019,"SINP 974",Rattachement
1185298,2kmUTM40E318S7662,2019,"SINP 974",Rattachement
1179576,2kmUTM40E314S7668,2019,"SINP 974",Rattachement
1189717,2kmUTM40E338S7638,2019,"SINP 974",Rattachement
1198513,2kmUTM40E318S7662,2019,"SINP 974",Rattachement
1177733,2kmUTM40E314S7670,2019,"SINP 974",Rattachement
1183090,2kmUTM40E316S7664,2019,"SINP 974",Rattachement
1177442,2kmUTM40E314S7672,2019,"SINP 974",Rattachement
1097405,2kmUTM40E320S7658,2019,"SINP 974",Rattachement
1177826,2kmUTM40E314S7670,2019,"SINP 974",Rattachement
1190900,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1198428,2kmUTM40E316S7664,2019,"SINP 974",Rattachement
1095857,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1196037,2kmUTM40E316S7664,2019,"SINP 974",Rattachement
1094120,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1093679,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1095637,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1192572,2kmUTM40E348S7636,2019,"SINP 974",Rattachement
1197659,2kmUTM40E326S7646,2019,"SINP 974",Rattachement
1180523,2kmUTM40E314S7668,2019,"SINP 974",Rattachement
1196717,2kmUTM40E320S7658,2019,"SINP 974",Rattachement
1190995,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1177452,2kmUTM40E314S7672,2019,"SINP 974",Rattachement
1181021,2kmUTM40E314S7666,2019,"SINP 974",Rattachement
1177683,2kmUTM40E314S7672,2019,"SINP 974",Rattachement
1189222,2kmUTM40E326S7646,2019,"SINP 974",Rattachement
1188765,2kmUTM40E326S7646,2019,"SINP 974",Rattachement
1180862,2kmUTM40E314S7668,2019,"SINP 974",Rattachement
1190754,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1190333,2kmUTM40E338S7638,2019,"SINP 974",Rattachement
1184317,2kmUTM40E316S7664,2019,"SINP 974",Rattachement
1197589,2kmUTM40E316S7666,2019,"SINP 974",Rattachement
1181865,2kmUTM40E314S7666,2019,"SINP 974",Rattachement
1198141,2kmUTM40E316S7666,2019,"SINP 974",Rattachement
1189819,2kmUTM40E338S7638,2019,"SINP 974",Rattachement
1195758,2kmUTM40E314S7666,2019,"SINP 974",Rattachement
1095675,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1187075,2kmUTM40E320S7656,2019,"SINP 974",Rattachement
1184838,2kmUTM40E318S7662,2019,"SINP 974",Rattachement
1181666,2kmUTM40E314S7666,2019,"SINP 974",Rattachement
1197944,2kmUTM40E314S7668,2019,"SINP 974",Rattachement
1186229,2kmUTM40E320S7658,2019,"SINP 974",Rattachement
1197334,2kmUTM40E326S7646,2019,"SINP 974",Rattachement
1195743,2kmUTM40E314S7666,2019,"SINP 974",Rattachement
1180318,2kmUTM40E314S7668,2019,"SINP 974",Rattachement
1191357,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1178292,2kmUTM40E314S7670,2019,"SINP 974",Rattachement
1188593,2kmUTM40E320S7654,2019,"SINP 974",Rattachement
1182953,2kmUTM40E316S7664,2019,"SINP 974",Rattachement
1188630,2kmUTM40E326S7646,2019,"SINP 974",Rattachement
1192173,2kmUTM40E346S7636,2019,"SINP 974",Rattachement
