cle_obs,code_me,version_me,date_me,type_info_geo
1180858,FRLC05,2,2016-11-01,Rattachement
1184723,FRLC05,2,2016-11-01,Rattachement
1182853,FRLC06,2,2016-11-01,Rattachement
1182215,FRLC05,2,2016-11-01,Rattachement
1185242,FRLC05,2,2016-11-01,Rattachement
1184381,FRLC05,2,2016-11-01,Rattachement
1184080,FRLC05,2,2016-11-01,Rattachement
1188468,FRLC05,2,2016-11-01,Rattachement
1189233,FRLC09,2,2016-11-01,Rattachement
1096825,FRLC11,2,2016-11-01,Rattachement
1196568,FRLC08,2,2016-11-01,Rattachement
1096907,FRLC11,2,2016-11-01,Rattachement
1096259,FRLC11,2,2016-11-01,Rattachement
1195469,FRLC06,2,2016-11-01,Rattachement
1185770,FRLC05,2,2016-11-01,Rattachement
1192046,FRLC12,2,2016-11-01,Rattachement
1195639,FRLC06,2,2016-11-01,Rattachement
1198065,FRLC06,2,2016-11-01,Rattachement
1180373,FRLC06,2,2016-11-01,Rattachement
1183188,FRLC05,2,2016-11-01,Rattachement
1191532,FRLC09,2,2016-11-01,Rattachement
1094237,FRLC11,2,2016-11-01,Rattachement
1181400,FRLC06,2,2016-11-01,Rattachement
1190821,FRLC09,2,2016-11-01,Rattachement
1190767,FRLC09,2,2016-11-01,Rattachement
1189327,FRLC09,2,2016-11-01,Rattachement
1187287,FRLC08,2,2016-11-01,Rattachement
1197908,FRLC06,2,2016-11-01,Rattachement
1182902,FRLC05,2,2016-11-01,Rattachement
1184609,FRLC05,2,2016-11-01,Rattachement
1179695,FRLC06,2,2016-11-01,Rattachement
1095723,FRLC11,2,2016-11-01,Rattachement
1188714,FRLC09,2,2016-11-01,Rattachement
1095706,FRLC11,2,2016-11-01,Rattachement
1186840,FRLC05,2,2016-11-01,Rattachement
1187175,FRLC05,2,2016-11-01,Rattachement
1192399,FRLC12,2,2016-11-01,Rattachement
1198276,FRLC06,2,2016-11-01,Rattachement
1190880,FRLC09,2,2016-11-01,Rattachement
1189162,FRLC09,2,2016-11-01,Rattachement
1183463,FRLC05,2,2016-11-01,Rattachement
1179181,FRLC05,2,2016-11-01,Rattachement
1097088,FRLC11,2,2016-11-01,Rattachement
1181372,FRLC06,2,2016-11-01,Rattachement
1195951,FRLC06,2,2016-11-01,Rattachement
1097124,FRLC11,2,2016-11-01,Rattachement
1178250,FRLC06,2,2016-11-01,Rattachement
1182948,FRLC05,2,2016-11-01,Rattachement
1185045,FRLC05,2,2016-11-01,Rattachement
1177809,FRLC06,2,2016-11-01,Rattachement
1189043,FRLC09,2,2016-11-01,Rattachement
1195398,FRLC05,2,2016-11-01,Rattachement
1192925,FRLC12,2,2016-11-01,Rattachement
1197059,FRLC08,2,2016-11-01,Rattachement
1187739,FRLC05,2,2016-11-01,Rattachement
1096771,FRLC11,2,2016-11-01,Rattachement
1195421,FRLC06,2,2016-11-01,Rattachement
1096935,FRLC11,2,2016-11-01,Rattachement
1187475,FRLC08,2,2016-11-01,Rattachement
1182227,FRLC05,2,2016-11-01,Rattachement
1178742,FRLC06,2,2016-11-01,Rattachement
1191705,FRLC09,2,2016-11-01,Rattachement
1190939,FRLC09,2,2016-11-01,Rattachement
1190083,FRLC09,2,2016-11-01,Rattachement
1188485,FRLC05,2,2016-11-01,Rattachement
1190016,FRLC09,2,2016-11-01,Rattachement
1192519,FRLC12,2,2016-11-01,Rattachement
1177758,FRLC05,2,2016-11-01,Rattachement
1195689,FRLC06,2,2016-11-01,Rattachement
1187798,FRLC05,2,2016-11-01,Rattachement
1096880,FRLC11,2,2016-11-01,Rattachement
1178187,FRLC06,2,2016-11-01,Rattachement
1189843,FRLC09,2,2016-11-01,Rattachement
1177275,FRLC06,2,2016-11-01,Rattachement
1186828,FRLC05,2,2016-11-01,Rattachement
1182501,FRLC05,2,2016-11-01,Rattachement
1181843,FRLC05,2,2016-11-01,Rattachement
1187507,FRLC08,2,2016-11-01,Rattachement
1191835,FRLC09,2,2016-11-01,Rattachement
1182488,FRLC05,2,2016-11-01,Rattachement
1182581,FRLC06,2,2016-11-01,Rattachement
1179165,FRLC06,2,2016-11-01,Rattachement
