Programme;Station;Date;REPLICAT_Numero;Taxon;Groupe_taxons;MESURE_Numero_individu;REPLICAT_Abondance_poissons_Protocole_BELT_-_transects_aleatoires_-_suivi_cible;REPLICAT_Longueur_poisson_cm_Protocole_BELT_-_suivi_cible-Centimetre;REPLICAT_Translation_Suivi_Epinephelus_merra_POPMER-Centimetre;REPLICAT_Substrat_Suivis_Epinephelus_merra_POPMER;REPLICAT_Anfractuosite_suivis_Epinephelus_merra_-_POMER_Pothin_K_2007;REPLICAT_Longueur_transect_metre_ruban-Metre;REPLICAT_Largeur_obs-Metre;OBSERVATION_Profondeur-Metre;OBSERVATION_Pluies_<24h;OBSERVATION_Ensoleillement;OBSERVATION_Vent;OBSERVATION_Etat_de_la_mer;OBSERVATION_Courant;OBSERVATION_Maree;OBSERVATION_Visibilite;MESURE_Organisme_analyste;OBSERVATION_Campagne;OBSERVATION_Campagne_commentaires;STATION_Identifiant;STATION_Mnemonique;STATION_Entite_classement;OBSERVATION_Coordonnees_MINX;OBSERVATION_Coordonnees_MAXX;OBSERVATION_Coordonnees_MINY;OBSERVATION_Coordonnees_MAXY;REPLICAT_Moyen_acquisition;REPLICAT_Organisme_observateur;OBSERVATION_Observateurs;OBSERVATION_Mnemonique;REPLICAT_Taille;REPLICAT_Unite;MESURE_Commentaires;Taxon_saisi;MESURE_Niveau_qualite;MESURE_Date_Qualif;MESURE_Commentaire_Qualif;MESURE_Identifiant_interne_TAXON_NAME_ID;MESURE_Identifiants_interne_MEAS_ID;MESURE_Identifiants_interne_TAXON_MEAS_ID;STATION_Entite_classement_Type;STATION_Entite_classement_Identifiant;STATION_Entite_classement_Rang_lieu;OBSERVATION_Heure;OBSERVATION_Commentaire;OBSERVATION_Date_controle;OBSERVATION_Date_validation;OBSERVATION_Niveau_qualite;OBSERVATION_Date_qualification;OBSERVATION_Commentaire_qualification;OBSERVATION_Geometrie_heritee;OBSERVATION_Profondeur_precise;OBSERVATION_Profondeur_precise_Symbole_unite;REPLICAT_Heure;REPLICAT_Profondeur_precise;REPLICAT_Profondeur_precise_Min;REPLICAT_Profondeur_precise_Max;REPLICAT_Geometrie_heritee;REPLICAT_Profondeur_precise_Symbole_unite;REPLICAT_Profondeur_precise_Unite;REPLICAT_Commentaire;REPLICAT_Moyen_acquisition_Taille;REPLICAT_Moyen_acquisition_Taille_Symbole_unite;REPLICAT_Nombre_individu;REPLICAT_Date_controle;REPLICAT_Date_validation;REPLICAT_Niveau_qualite;REPLICAT_Date_qualification;REPLICAT_Commentaire_qualification;REPLICAT_Coordonnees_MINX;REPLICAT_Coordonnees_MAXX;REPLICAT_Coordonnees_MINY;REPLICAT_Coordonnees_MAXY;Moratoire
POPMER_LAREUNION_BELT_POISSON;L'Ermitage_GH09;27/12/2007;1;Epinephelus merra;Acropore digité;1;1;12;1800;Substrat dur colonisé;Présence;20;2;;Nulle;Moyen;Calme;Calme;NA;Descendante;NA;GIPRNMR - Groupement d'Intérêt Public - Réserve Nationale Marine de la Réunion;;;60010458;126-P-244;126 - Réunion;55,22161;55,22161;-21,08205;-21,08205;Transect (toute longueur, toute largeur);GIPRNMR - Groupement d'Intérêt Public - Réserve Nationale Marine de la Réunion;;GH09-2008_Belt_Poisson;;;Issu de la reprise QUADRILABO du 07/02/2019;Epinephelus merra;Non qualifié;;;60002174;69951992|69951993|69951996|69951994|69951991|69951990|69951995|69957346|69957345;67300942|67300941|67300943|67300944|67300940;Zones marines;126;244;;Conditions d'observation de la station n'ayant pas de correspondance dans les fichiers historiques, la date et les conditions environnementales ont été extrapolées depuis le point GH08 - Absence de données benthos pour cette observation - Issu de la reprise QUADRILABO du 07/02/2019;07/02/2019;07/02/2019;Non qualifié;;;1;;;;;;;1;;;Observateur non identifié - Issu de la reprise QUADRILABO du 07/02/2019;;;2;07/02/2019;07/02/2019;Non qualifié;;;55,22161;55,22161;-21,08205;-21,08205;Non
POPMER_LAREUNION_BELT_POISSON;L'Ermitage_GH09;27/12/2007;1;Epinephelus merra;Acropore branchu;2;1;14;530;Substrat dur colonisé;Absence;20;2;;Nulle;Moyen;Calme;Calme;NA;Descendante;NA;GIPRNMR - Groupement d'Intérêt Public - Réserve Nationale Marine de la Réunion;;;60010458;126-P-244;126 - Réunion;55,22161;55,22161;-21,08205;-21,08205;Transect (toute longueur, toute largeur);GIPRNMR - Groupement d'Intérêt Public - Réserve Nationale Marine de la Réunion;;GH09-2008_Belt_Poisson;;;Issu de la reprise QUADRILABO du 07/02/2019;Epinephelus merra;Non qualifié;;;60002174;69951992|69951993|69951996|69951994|69951991|69951990|69951995|69957346|69957345;67300947|67300946|67300948|67300949|67300945;Zones marines;126;244;;Conditions d'observation de la station n'ayant pas de correspondance dans les fichiers historiques, la date et les conditions environnementales ont été extrapolées depuis le point GH08 - Absence de données benthos pour cette observation - Issu de la reprise QUADRILABO du 07/02/2019;07/02/2019;07/02/2019;Non qualifié;;;1;;;;;;;1;;;Observateur non identifié - Issu de la reprise QUADRILABO du 07/02/2019;;;2;07/02/2019;07/02/2019;Non qualifié;;;55,22161;55,22161;-21,08205;-21,08205;Non
POPMER_LAREUNION_BELT_POISSON;L'Ermitage_GH09;31/12/2008;1;Epinephelus merra;Non-Acropore submassif;1;1;8;160;Substrat dur colonisé;Présence;20;2;;Nulle;Fort;Calme;Belle;NA;Descendante;de 2 à 10 m;GIPRNMR - Groupement d'Intérêt Public - Réserve Nationale Marine de la Réunion;;;60010458;126-P-244;126 - Réunion;55,22161;55,22161;-21,08205;-21,08205;Transect (toute longueur, toute largeur);GIPRNMR - Groupement d'Intérêt Public - Réserve Nationale Marine de la Réunion;;GH09-2009_Belt_Poisson;;;Issu de la reprise QUADRILABO du 07/02/2019;Epinephelus merra;Non qualifié;;;60002174;69951999|69952000|69952003|69952001|69951998|69951997|69952002|69957348|69957347;67300952|67300951|67300953|67300954|67300950;Zones marines;126;244;09:35:00;Issu de la reprise QUADRILABO du 07/02/2019;07/02/2019;07/02/2019;Non qualifié;;;1;0,5;m;;;;;1;;;Observateur non identifié - Issu de la reprise QUADRILABO du 07/02/2019;;;3;07/02/2019;07/02/2019;Non qualifié;;;55,22161;55,22161;-21,08205;-21,08205;Non
POPMER_LAREUNION_BELT_POISSON;L'Ermitage_GH09;31/12/2008;1;Epinephelus merra;Non-Acropore submassif;2;1;17;1210;Substrat dur colonisé;Absence;20;2;;Nulle;Fort;Calme;Belle;NA;Descendante;de 2 à 10 m;GIPRNMR - Groupement d'Intérêt Public - Réserve Nationale Marine de la Réunion;;;60010458;126-P-244;126 - Réunion;55,22161;55,22161;-21,08205;-21,08205;Transect (toute longueur, toute largeur);GIPRNMR - Groupement d'Intérêt Public - Réserve Nationale Marine de la Réunion;;GH09-2009_Belt_Poisson;;;Issu de la reprise QUADRILABO du 07/02/2019;Epinephelus merra;Non qualifié;;;60002174;69951999|69952000|69952003|69952001|69951998|69951997|69952002|69957348|69957347;67300957|67300956|67300958|67300959|67300955;Zones marines;126;244;09:35:00;Issu de la reprise QUADRILABO du 07/02/2019;07/02/2019;07/02/2019;Non qualifié;;;1;0,5;m;;;;;1;;;Observateur non identifié - Issu de la reprise QUADRILABO du 07/02/2019;;;3;07/02/2019;07/02/2019;Non qualifié;;;55,22161;55,22161;-21,08205;-21,08205;Non
POPMER_LAREUNION_BELT_POISSON;L'Ermitage_GH09;31/12/2008;1;Epinephelus merra;Non-Acropore submassif;3;1;14;1350;Substrat dur colonisé;Présence;20;2;;Nulle;Fort;Calme;Belle;NA;Descendante;de 2 à 10 m;GIPRNMR - Groupement d'Intérêt Public - Réserve Nationale Marine de la Réunion;;;60010458;126-P-244;126 - Réunion;55,22161;55,22161;-21,08205;-21,08205;Transect (toute longueur, toute largeur);GIPRNMR - Groupement d'Intérêt Public - Réserve Nationale Marine de la Réunion;;GH09-2009_Belt_Poisson;;;Issu de la reprise QUADRILABO du 07/02/2019;Epinephelus merra;Non qualifié;;;60002174;69951999|69952000|69952003|69952001|69951998|69951997|69952002|69957348|69957347;67300962|67300961|67300963|67300964|67300960;Zones marines;126;244;09:35:00;Issu de la reprise QUADRILABO du 07/02/2019;07/02/2019;07/02/2019;Non qualifié;;;1;0,5;m;;;;;1;;;Observateur non identifié - Issu de la reprise QUADRILABO du 07/02/2019;;;3;07/02/2019;07/02/2019;Non qualifié;;;55,22161;55,22161;-21,08205;-21,08205;Non
POPMER_LAREUNION_BELT_POISSON;L'Ermitage_GH09;21/01/2010;1;Epinephelus merra;Acropore branchu;1;1;9;1800;Substrat dur colonisé;Présence;20;2;;Nulle;Fort;Calme;Calme;Moyen;Descendante;de 2 à 10 m;GIPRNMR - Groupement d'Intérêt Public - Réserve Nationale Marine de la Réunion;;;60010458;126-P-244;126 - Réunion;55,22161;55,22161;-21,08205;-21,08205;Transect (toute longueur, toute largeur);GIPRNMR - Groupement d'Intérêt Public - Réserve Nationale Marine de la Réunion;;GH09-2010_Belt_Poisson;;;Issu de la reprise QUADRILABO du 07/02/2019;Epinephelus merra;Non qualifié;;;60002174;69952006|69952007|69952010|69952008|69952005|69952004|69952009|69957350|69957349;67300967|67300966|67300968|67300969|67300965;Zones marines;126;244;11:15:00;Issu de la reprise QUADRILABO du 07/02/2019;07/02/2019;07/02/2019;Non qualifié;;;1;0,3;m;;;;;1;;;Observateur non identifié - Issu de la reprise QUADRILABO du 07/02/2019;;;1;07/02/2019;07/02/2019;Non qualifié;;;55,22161;55,22161;-21,08205;-21,08205;Non
POPMER_LAREUNION_BELT_POISSON;L'Ermitage_GH09;25/01/2011;1;;;1;0;;;;;20;2;;Nulle;Moyen;Calme;Calme;Moyen;Montante;de 2 à 10 m;GIPRNMR - Groupement d'Intérêt Public - Réserve Nationale Marine de la Réunion;;;60010458;126-P-244;126 - Réunion;55,22161;55,22161;-21,08205;-21,08205;Transect (toute longueur, toute largeur);GIPRNMR - Groupement d'Intérêt Public - Réserve Nationale Marine de la Réunion;;GH09-2011_Belt_Poisson;;;Issu de la reprise QUADRILABO du 07/02/2019;;Non qualifié;;;;69952013|69952014|69952017|69952015|69952012|69952011|69952016|69957353|69957352|69957351;;Zones marines;126;244;13:30:00;Issu de la reprise QUADRILABO du 07/02/2019;07/02/2019;07/02/2019;Non qualifié;;;1;0,5;m;;;;;1;;;Observateur non identifié - Issu de la reprise QUADRILABO du 07/02/2019;;;1;07/02/2019;07/02/2019;Non qualifié;;;55,22161;55,22161;-21,08205;-21,08205;Non
POPMER_LAREUNION_BELT_POISSON;L'Ermitage_GH09;18/01/2012;1;Epinephelus merra;Algues gazonnantes;1;1;11;510;Corail mort en place;Présence;20;2;;Nulle;Moyen;Brise;NA;Moyen;Montante;de 11 à 18 m;GIPRNMR - Groupement d'Intérêt Public - Réserve Nationale Marine de la Réunion;;;60010458;126-P-244;126 - Réunion;55,22161;55,22161;-21,08205;-21,08205;Transect (toute longueur, toute largeur);GIPRNMR - Groupement d'Intérêt Public - Réserve Nationale Marine de la Réunion;;GH09-2012_Belt_Poisson;;;Issu de la reprise QUADRILABO du 07/02/2019 - ACB mort;Epinephelus merra;Non qualifié;;;60002174;69952020|69952021|69952024|69952022|69952019|69952018|69952023|69957355|69957354;67300972|67300971|67300973|67300974|67300970;Zones marines;126;244;10:52:00;Issu de la reprise QUADRILABO du 07/02/2019;07/02/2019;07/02/2019;Non qualifié;;;1;;;;;;;1;;;Observateur(s) : C. Cadet - Issu de la reprise QUADRILABO du 07/02/2019;;;2;07/02/2019;07/02/2019;Non qualifié;;;55,22161;55,22161;-21,08205;-21,08205;Non
POPMER_LAREUNION_BELT_POISSON;L'Ermitage_GH09;18/01/2012;1;Epinephelus merra;Algues gazonnantes;2;1;12;1150;NA;Présence;20;2;;Nulle;Moyen;Brise;NA;Moyen;Montante;de 11 à 18 m;GIPRNMR - Groupement d'Intérêt Public - Réserve Nationale Marine de la Réunion;;;60010458;126-P-244;126 - Réunion;55,22161;55,22161;-21,08205;-21,08205;Transect (toute longueur, toute largeur);GIPRNMR - Groupement d'Intérêt Public - Réserve Nationale Marine de la Réunion;;GH09-2012_Belt_Poisson;;;Issu de la reprise QUADRILABO du 07/02/2019;Epinephelus merra;Non qualifié;;;60002174;69952020|69952021|69952024|69952022|69952019|69952018|69952023|69957355|69957354;67300977|67300976|67300978|67300979|67300975;Zones marines;126;244;10:52:00;Issu de la reprise QUADRILABO du 07/02/2019;07/02/2019;07/02/2019;Non qualifié;;;1;;;;;;;1;;;Observateur(s) : C. Cadet - Issu de la reprise QUADRILABO du 07/02/2019;;;2;07/02/2019;07/02/2019;Non qualifié;;;55,22161;55,22161;-21,08205;-21,08205;Non
POPMER_LAREUNION_BELT_POISSON;L'Ermitage_GH09;22/01/2013;1;Epinephelus merra;Acropore digité;1;1;9;1010;Substrat dur colonisé;Présence;20;2;;Nulle;Moyen;Calme;Calme;NA;Montante;de 2 à 10 m;GIPRNMR - Groupement d'Intérêt Public - Réserve Nationale Marine de la Réunion;;;60010458;126-P-244;126 - Réunion;55,22161;55,22161;-21,08205;-21,08205;Transect (toute longueur, toute largeur);GIPRNMR - Groupement d'Intérêt Public - Réserve Nationale Marine de la Réunion;;GH09-2013_Belt_Poisson;;;Issu de la reprise QUADRILABO du 07/02/2019;Epinephelus merra;Non qualifié;;;60002174;69952027|69952028|69952031|69952029|69952026|69952025|69952030|69957357|69957356;67300982|67300981|67300983|67300984|67300980;Zones marines;126;244;09:15:00;Issu de la reprise QUADRILABO du 07/02/2019;07/02/2019;07/02/2019;Non qualifié;;;1;0,7;m;;;;;1;;;Observateur(s) : I.Schildt - Issu de la reprise QUADRILABO du 07/02/2019;;;1;07/02/2019;07/02/2019;Non qualifié;;;55,22161;55,22161;-21,08205;-21,08205;Non
