Station,Date,Taxon,Groupe_taxons,MESURE_Numero_individu,Longueur_poisson_cm,Substrat_Suivis,Longueur_transect_metre,STATION_Identifiant,OBSERVATION_Coordonnees_MINX,OBSERVATION_Coordonnees_MINY,Flag,Year
L'Ermitage_GH09,2007-12-27,Epinephelus merra,Acropore digité,1.0,12,Substrat dur colonisé,20,60010458,55.22161,-21.08205,Belt,2007
L'Ermitage_GH09,2007-12-27,Epinephelus merra,Acropore branchu,2.0,14,Substrat dur colonisé,20,60010458,55.22161,-21.08205,Belt,2007
L'Ermitage_GH09,2008-12-31,Epinephelus merra,Non-Acropore submassif,1.0,8,Substrat dur colonisé,20,60010458,55.22161,-21.08205,Belt,2008
L'Ermitage_GH09,2008-12-31,Epinephelus merra,Non-Acropore submassif,2.0,17,Substrat dur colonisé,20,60010458,55.22161,-21.08205,Belt,2008
L'Ermitage_GH09,2008-12-31,Epinephelus merra,Non-Acropore submassif,3.0,14,Substrat dur colonisé,20,60010458,55.22161,-21.08205,Belt,2008
L'Ermitage_GH09,2010-01-21,Epinephelus merra,Acropore branchu,1.0,9,Substrat dur colonisé,20,60010458,55.22161,-21.08205,Belt,2010
L'Ermitage_GH09,2011-01-25,,,1.0,,,20,60010458,55.22161,-21.08205,Belt,2011
L'Ermitage_GH09,2012-01-18,Epinephelus merra,Algues gazonnantes,1.0,11,Corail mort en place,20,60010458,55.22161,-21.08205,Belt,2012
L'Ermitage_GH09,2012-01-18,Epinephelus merra,Algues gazonnantes,2.0,12,,20,60010458,55.22161,-21.08205,Belt,2012
L'Ermitage_GH09,2013-01-22,Epinephelus merra,Acropore digité,1.0,9,Substrat dur colonisé,20,60010458,55.22161,-21.08205,Belt,2013
L'Ermitage_GH09,2014-01-27,,,1.0,,,20,60010458,55.22161,-21.08205,Belt,2014
L'Ermitage_GH09,2015-02-10,Epinephelus merra,,1.0,7,,20,60010458,55.22161,-21.08205,Belt,2015
L'Ermitage_GH09,2015-02-10,Epinephelus merra,,2.0,7,,20,60010458,55.22161,-21.08205,Belt,2015
L'Ermitage_GH09,2015-02-10,Epinephelus merra,Acropore digité,3.0,9,Substrat dur colonisé,20,60010458,55.22161,-21.08205,Belt,2015
L'Ermitage_GH09,2016-01-21,Epinephelus merra,Algues gazonnantes,1.0,7,Corail mort en place,20,60010458,55.22161,-21.08205,Belt,2016
L'Ermitage_GH09,2016-01-21,Epinephelus merra,Acropore digité,2.0,7,Substrat dur colonisé,20,60010458,55.22161,-21.08205,Belt,2016
L'Ermitage_GH09,2016-01-21,Epinephelus merra,Acropore digité,3.0,9,Substrat dur colonisé,20,60010458,55.22161,-21.08205,Belt,2016
L'Ermitage_GH09,2016-01-21,Epinephelus merra,Acropore branchu,4.0,8,Substrat dur colonisé,20,60010458,55.22161,-21.08205,Belt,2016
L'Ermitage_GH09,2017-01-11,Epinephelus merra,Algues gazonnantes,1.0,8,Corail mort en place,20,60010458,55.22161,-21.08205,Belt,2017
L'Ermitage_GH09,2018-01-26,Epinephelus merra,,1.0,20,Débris,20,60010458,55.22161,-21.08205,Belt,2018
L'Ermitage_GH09,2019-01-24,Epinephelus merra,Algues gazonnantes,1.0,12,Corail mort en place,20,60010458,55.22161,-21.08205,Belt,2019
L'Ermitage_GH09,2019-01-24,Epinephelus merra,Algues gazonnantes,2.0,14,Corail mort en place,20,60010458,55.22161,-21.08205,Belt,2019
L'Ermitage_GH09,2020-01-09,,,,,,20,60010458,55.22161,-21.08205,Belt,2020
L'Ermitage_GH09,2020-11-30,Epinephelus merra,Acropore digité,1.0,8,Substrat dur colonisé,20,60010458,55.22161,-21.08205,Belt,2020
L'Ermitage_GH09,2020-11-30,Epinephelus merra,Algues gazonnantes,2.0,15,Corail mort en place,20,60010458,55.22161,-21.08205,Belt,2020
L'Ermitage_GH09,2022-01-28,Epinephelus merra,Acropore branchu,1.0,13,Substrat dur colonisé,20,60010458,55.22161,-21.08205,Belt,2022
L'Ermitage_GH09,2022-01-28,Epinephelus merra,Acropore digité,2.0,11,Substrat dur colonisé,20,60010458,55.22161,-21.08205,Belt,2022
L'Ermitage_GH09,2022-01-28,Epinephelus merra,Algues gazonnantes,3.0,7,Corail mort en place,20,60010458,55.22161,-21.08205,Belt,2022
L'Ermitage_GH09,2022-01-28,Epinephelus merra,Algues gazonnantes,4.0,10,Corail mort en place,20,60010458,55.22161,-21.08205,Belt,2022
L'Ermitage_GH09,2022-01-28,Epinephelus merra,Algues gazonnantes,5.0,14,Corail mort en place,20,60010458,55.22161,-21.08205,Belt,2022
L'Ermitage_GH09,2022-01-28,Epinephelus merra,Algues gazonnantes,6.0,10,Corail mort en place,20,60010458,55.22161,-21.08205,Belt,2022
L'Ermitage_GH09,2022-01-28,Epinephelus merra,Algues gazonnantes,7.0,12,Corail mort en place,20,60010458,55.22161,-21.08205,Belt,2022
L'Ermitage_GH09,2022-01-28,Epinephelus merra,Algues gazonnantes,8.0,13,Corail mort en place,20,60010458,55.22161,-21.08205,Belt,2022
L'Ermitage_GH09,2022-01-28,Epinephelus merra,Algues gazonnantes,9.0,8,Débris,20,60010458,55.22161,-21.08205,Belt,2022
L'Ermitage_GH09,2022-12-08,Epinephelus merra,Algues gazonnantes,1.0,10,Corail mort en place,20,60010458,55.22161,-21.08205,Belt,2022
L'Ermitage_GH09,2022-12-08,Epinephelus merra,Algues gazonnantes,2.0,14,Corail mort en place,20,60010458,55.22161,-21.08205,Belt,2022
L'Ermitage_GH09,2022-12-08,Epinephelus merra,Non-Acropore massif,3.0,15,Substrat dur colonisé,20,60010458,55.22161,-21.08205,Belt,2022
L'Ermitage_GH09,2022-12-08,Epinephelus merra,,4.0,8,Sable,20,60010458,55.22161,-21.08205,Belt,2022
L'Ermitage_GH10,2007-12-27,Epinephelus merra,,1.0,16,Débris,20,60010459,55.22168,-21.08241,Belt,2007
L'Ermitage_GH10,2007-12-27,Epinephelus merra,Acropore branchu,2.0,8,Substrat dur colonisé,20,60010459,55.22168,-21.08241,Belt,2007
L'Ermitage_GH10,2007-12-27,Epinephelus merra,Algues gazonnantes,3.0,16,Corail mort en place,20,60010459,55.22168,-21.08241,Belt,2007
L'Ermitage_GH10,2007-12-27,Epinephelus merra,Acropore branchu,4.0,18,Substrat dur colonisé,20,60010459,55.22168,-21.08241,Belt,2007
L'Ermitage_GH10,2007-12-27,Epinephelus merra,Millépores,5.0,16,,20,60010459,55.22168,-21.08241,Belt,2007
L'Ermitage_GH10,2010-01-21,Epinephelus merra,Algues gazonnantes,1.0,10,Corail mort en place,20,60010459,55.22168,-21.08241,Belt,2010
L'Ermitage_GH10,2011-01-25,Epinephelus merra,Acropore branchu,1.0,7,Substrat dur colonisé,20,60010459,55.22168,-21.08241,Belt,2011
L'Ermitage_GH10,2012-01-18,Epinephelus merra,Acropore branchu,1.0,10,Substrat dur colonisé,20,60010459,55.22168,-21.08241,Belt,2012
L'Ermitage_GH10,2012-01-18,Epinephelus merra,Acropore branchu,2.0,11,Substrat dur colonisé,20,60010459,55.22168,-21.08241,Belt,2012
L'Ermitage_GH10,2012-01-18,Epinephelus merra,Algues gazonnantes,3.0,12,Corail mort en place,20,60010459,55.22168,-21.08241,Belt,2012
L'Ermitage_GH10,2012-01-18,Epinephelus merra,Acropore branchu,4.0,12,Substrat dur colonisé,20,60010459,55.22168,-21.08241,Belt,2012
L'Ermitage_GH10,2012-01-18,Epinephelus merra,Acropore branchu,5.0,10,Substrat dur colonisé,20,60010459,55.22168,-21.08241,Belt,2012
L'Ermitage_GH10,2012-01-18,Epinephelus merra,Acropore branchu,6.0,12,Substrat dur colonisé,20,60010459,55.22168,-21.08241,Belt,2012
L'Ermitage_GH10,2013-01-22,Epinephelus merra,Algues gazonnantes,1.0,20,Corail mort en place,20,60010459,55.22168,-21.08241,Belt,2013
L'Ermitage_GH10,2013-01-22,Epinephelus merra,Algues gazonnantes,2.0,11,Corail mort en place,20,60010459,55.22168,-21.08241,Belt,2013
L'Ermitage_GH10,2014-01-22,Epinephelus merra,Acropore branchu,1.0,10,Substrat dur colonisé,20,60010459,55.22168,-21.08241,Belt,2014
L'Ermitage_GH10,2015-02-10,Epinephelus merra,Acropore branchu,1.0,9,Substrat dur colonisé,20,60010459,55.22168,-21.08241,Belt,2015
L'Ermitage_GH10,2015-02-10,Epinephelus merra,Acropore tabulaire,2.0,16,Substrat dur colonisé,20,60010459,55.22168,-21.08241,Belt,2015
L'Ermitage_GH10,2015-02-10,Epinephelus merra,Acropore tabulaire,3.0,14,Substrat dur colonisé,20,60010459,55.22168,-21.08241,Belt,2015
L'Ermitage_GH10,2015-02-10,Epinephelus merra,Non-Acropore massif,4.0,14,Substrat dur colonisé,20,60010459,55.22168,-21.08241,Belt,2015
L'Ermitage_GH10,2016-01-21,Epinephelus merra,Acropore branchu,1.0,9,Substrat dur colonisé,20,60010459,55.22168,-21.08241,Belt,2016
L'Ermitage_GH10,2016-01-21,Epinephelus merra,Acropore branchu,2.0,16,Substrat dur colonisé,20,60010459,55.22168,-21.08241,Belt,2016
L'Ermitage_GH10,2016-01-21,Epinephelus merra,Acropore branchu,3.0,14,Substrat dur colonisé,20,60010459,55.22168,-21.08241,Belt,2016
L'Ermitage_GH10,2016-01-21,Epinephelus merra,Non-Acropore massif,4.0,14,Substrat dur colonisé,20,60010459,55.22168,-21.08241,Belt,2016
L'Ermitage_GH10,2016-01-21,Epinephelus merra,Algues gazonnantes,5.0,12,Débris,20,60010459,55.22168,-21.08241,Belt,2016
L'Ermitage_GH10,2016-01-21,Epinephelus merra,,6.0,8,Débris,20,60010459,55.22168,-21.08241,Belt,2016
L'Ermitage_GH10,2017-01-11,Epinephelus merra,Algues gazonnantes,1.0,15,Corail mort en place,20,60010459,55.22168,-21.08241,Belt,2017
L'Ermitage_GH10,2017-01-11,Epinephelus merra,Algues gazonnantes,2.0,12,Corail mort en place,20,60010459,55.22168,-21.08241,Belt,2017
L'Ermitage_GH10,2018-01-26,Epinephelus merra,Algues gazonnantes,1.0,15,Corail mort en place,20,60010459,55.22168,-21.08241,Belt,2018
L'Ermitage_GH10,2018-01-26,Epinephelus merra,Algues gazonnantes,2.0,14,Corail mort en place,20,60010459,55.22168,-21.08241,Belt,2018
L'Ermitage_GH10,2018-01-26,Epinephelus merra,Algues gazonnantes,3.0,13,Corail mort en place,20,60010459,55.22168,-21.08241,Belt,2018
L'Ermitage_GH10,2019-01-24,,,,,,20,60010459,55.22168,-21.08241,Belt,2019
L'Ermitage_GH10,2020-01-09,,,,,,20,60010459,55.22168,-21.08241,Belt,2020
