Station,Date,Taxon,Groupe_taxons,MESURE_Numero_individu,REPLICAT_Longueur_transect,STATION_Identifiant,OBSERVATION_Coordonnees_MINX,OBSERVATION_Coordonnees_MINY,OBSERVATION_Coordonnees_MAXX,OBSERVATION_Coordonnees_MAXY,REPLICAT_Substrat_Protocole_LIT,Flag,Year
L'Ermitage_GH09,2008-12-31,,,1,2000,60010458,55.22161,-21.08205,55.22161,-21.08205,Débris,substrat,2008
L'Ermitage_GH09,2008-12-31,,Acropore digité,2,2000,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2008
L'Ermitage_GH09,2008-12-31,,Non-Acropore encroutant,3,2000,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2008
L'Ermitage_GH09,2008-12-31,,,4,2000,60010458,55.22161,-21.08205,55.22161,-21.08205,Débris,substrat,2008
L'Ermitage_GH09,2008-12-31,,Acropore branchu,5,2000,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2008
L'Ermitage_GH09,2008-12-31,,,6,2000,60010458,55.22161,-21.08205,55.22161,-21.08205,Débris,substrat,2008
L'Ermitage_GH09,2008-12-31,,Acropore branchu,7,2000,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2008
L'Ermitage_GH09,2008-12-31,,Algues gazonnantes,8,2000,60010458,55.22161,-21.08205,55.22161,-21.08205,,substrat,2008
L'Ermitage_GH09,2008-12-31,,Non-Acropore submassif,9,2000,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2008
L'Ermitage_GH09,2008-12-31,,Algues gazonnantes,10,2000,60010458,55.22161,-21.08205,55.22161,-21.08205,,substrat,2008
L'Ermitage_GH09,2008-12-31,,Non-Acropore massif,11,2000,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2008
L'Ermitage_GH09,2008-12-31,,Algues gazonnantes,12,2000,60010458,55.22161,-21.08205,55.22161,-21.08205,,substrat,2008
L'Ermitage_GH09,2008-12-31,,Acropore digité,13,2000,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2008
L'Ermitage_GH09,2008-12-31,,,14,2000,60010458,55.22161,-21.08205,55.22161,-21.08205,Débris,substrat,2008
L'Ermitage_GH09,2008-12-31,,Non-Acropore encroutant,15,2000,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2008
L'Ermitage_GH09,2008-12-31,,Algues gazonnantes,16,2000,60010458,55.22161,-21.08205,55.22161,-21.08205,,substrat,2008
L'Ermitage_GH09,2008-12-31,,Acropore branchu,17,2000,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2008
L'Ermitage_GH09,2008-12-31,,,18,2000,60010458,55.22161,-21.08205,55.22161,-21.08205,Sable,substrat,2008
L'Ermitage_GH09,2008-12-31,,Non-Acropore encroutant,19,2000,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2008
L'Ermitage_GH09,2008-12-31,,Algues gazonnantes,20,2000,60010458,55.22161,-21.08205,55.22161,-21.08205,,substrat,2008
L'Ermitage_GH09,2008-12-31,,Non-Acropore foliacé,21,2000,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2008
L'Ermitage_GH09,2008-12-31,,Non-Acropore encroutant,22,2000,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2008
L'Ermitage_GH09,2008-12-31,,Algues gazonnantes,23,2000,60010458,55.22161,-21.08205,55.22161,-21.08205,,substrat,2008
L'Ermitage_GH09,2008-12-31,,Acropore digité,24,2000,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2008
L'Ermitage_GH09,2008-12-31,,Non-Acropore foliacé,25,2000,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2008
L'Ermitage_GH09,2008-12-31,,Non-Acropore submassif,26,2000,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2008
L'Ermitage_GH09,2008-12-31,,Algues gazonnantes,27,2000,60010458,55.22161,-21.08205,55.22161,-21.08205,,substrat,2008
L'Ermitage_GH09,2008-12-31,,Algues gazonnantes,28,2000,60010458,55.22161,-21.08205,55.22161,-21.08205,Corail mort en place,substrat,2008
L'Ermitage_GH09,2008-12-31,,Non-Acropore submassif,29,2000,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2008
L'Ermitage_GH09,2008-12-31,,Algues gazonnantes,30,2000,60010458,55.22161,-21.08205,55.22161,-21.08205,Corail mort en place,substrat,2008
L'Ermitage_GH09,2008-12-31,,Algues gazonnantes,31,2000,60010458,55.22161,-21.08205,55.22161,-21.08205,,substrat,2008
L'Ermitage_GH09,2008-12-31,,Acropore branchu,32,2000,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2008
L'Ermitage_GH09,2008-12-31,,Algues gazonnantes,33,2000,60010458,55.22161,-21.08205,55.22161,-21.08205,Corail mort en place,substrat,2008
L'Ermitage_GH09,2008-12-31,,Acropore branchu,34,2000,60010458,55.22161,-21.08205,55.22161,-21.08205,Substrat dur colonisé,substrat,2008
L'Ermitage_GH09,2010-01-21,,Algues gazonnantes,1,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Débris,substrat,2010
L'Ermitage_GH09,2010-01-21,,,2,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Sable,substrat,2010
L'Ermitage_GH09,2010-01-21,,Algues gazonnantes,3,20,60010458,55.22161,-21.08205,55.22161,-21.08205,Débris,substrat,2010
